"Name","Album","Artist"
"Kita","Sheila On 7","Sheila On 7"
"Bagaimana?","Bagaimana? (Single)","Maliq & D'Essentials"
"Kita Bikin Romantis","Kita Bikin Romantis (Single)","Maliq & D'Essentials"
"Drama Romantika","Sriwedari","Maliq & D'Essentials"
"Bahagia Itu Sederhana","Bahagia Itu Sederhana (Single)","Wina Natalia"
"Happy","Happy (Single)","Mocca"
"I Remember","My Diary","Mocca"
"Teman Sejati","Teman Sejati (Single)","Mocca"
"Indahnya Dirimu","Say Hi! to HIVI!","HIVI!"
"Jatuh Cinta","Jatuh Cinta (Single)","Project Pop"
"Gadis Sampul","Gadis Sampul (Single)","The Changcuters"
"Pria Idola Wanita","Mencoba Sukses Kembali","The Changcuters"
"Hip Hip Hura","Hip Hip Hura (Single)","Chrisye"
"Anak Sekolah","Anak Sekolah (Single)","Chrisye"
"Juwita Malam","Juwita Malam (Single)","Chrisye"
"Barcelona","Barcelona (Single)","Fariz RM"
"Sakura","Sakura","Fariz RM"
"Gejolak Kawula Muda","80's","Club 80's"
"Dari Hati","Dari Hati (Single)","Club 80's"
"Satu Mimpiku","Kuingin","The Groove"
"Dahulu","Kuingin","The Groove"
"Khayalan","Khayalan (Single)","The Groove"
"Dansa Yo Dansa","Dansa Yo Dansa (Single)","The Groove"
"Matraman","Matraman (Single)","The Upstairs"
"Terekam (Tak Pernah Mati)","Energy","The Upstairs"
"Disko Darurat","Energy","The Upstairs"
"Satelit","Satelit (Single)","The Upstairs"
"Selamat Tinggal","Selamat Tinggal (Single)","RAN"
"Hanya Untukmu","RAN for Your Life","RAN"
"T.G.I.F","Friday","RAN"
"Jadi Gila","Hanya Untukmu","RAN"
"Could It Be","Raisa","Raisa"
"Jatuh Hati","Jatuh Hati (Single)","Raisa"
"Terjebak Nostalgia","Raisa","Raisa"
"Love You Longer","The Best of Raisa","Raisa"
"Istimewa","Istimewa (Single)","Petra Sihombing"
"Pilih Saja Aku","Pilih Saja Aku (Single)","Petra Sihombing"
"Mine","Mine (Single)","Petra Sihombing"
"Cinta Takkan Kemana-mana","Cinta Takkan Kemana-mana (Single)","Petra Sihombing"
"Seindah Biasa","Seindah Biasa (Single)","Siti Nurhaliza"
"Bukan Cinta Biasa","E.M.A.S","Siti Nurhaliza"
"Cindai","Cindai","Siti Nurhaliza"
"Beraksi","Beraksi (Single)","Kotak"
"Tendangan dari Langit","Tendangan dari Langit (Single)","Kotak"
"Pelan-Pelan Saja","Energi","Kotak (happy ending)"
"Sempurna","Andra and The BackBone","Andra and The BackBone"
"Musnah","Musnah (Single)","Andra and The BackBone"
"Lagi Syantik","Lagi Syantik (Single)","Siti Badriah"
"Jaran Goyang","Jaran Goyang (Single)","Nella Kharisma"
"Sayang","Sayang (Single)","Via Vallen"
"Pamer Bojo","Pamer Bojo (Single)","Didi Kempot"
"Goyang Dumang","Goyang Dumang (Single)","Cita Citata"
"Alamat Palsu","Alamat Palsu (Single)","Ayu Ting Ting"
"Baik Baik Sayang","Orang Bilang","Wali"
"Cari Jodoh","Cari Jodoh (Single)","Wali"
"Tomat (Tobat Maksiat)","Aku Bukan Bang Toyib","Wali"
"Ada Gajah di Balik Batu","Ada Gajah di Balik Batu (Single)","Wali"
"Yank","Cari Jodoh","Wali"
"Harus Terpisah","Harus Terpisah (Single)","Cakra Khan (happy to be free)"
"Setelah Kau Tiada","Setelah Kau Tiada (Single)","Cakra Khan"
"Kepastian","Kepastian (Single)","Afgansyah Reza"
"Sadis","Confession No.1","Afgan (upbeat tempo)"
"Panah Asmara","The One","Afgan"
"Jodoh Pasti Bertemu","Jodoh Pasti Bertemu (Single)","Afgan"
"Bawalah Cintaku","Bawalah Cintaku (Single)","Afgan"
"Cinta","Vina Panduwinata","Vina Panduwinata"
"Surat Cinta","Surat Cinta (Single)","Vina Panduwinata"
"September Ceria","September Ceria (Single)","Vina Panduwinata"
"Biru","Biru (Single)","Vina Panduwinata"
"Pesonamu","Pesonamu (Single)","Lyodra"
"Gemintang Hatiku","Gemintang Hatiku (Single)","Tiara Andini"
"Cintanya Aku","Cintanya Aku (Single)","Tiara Andini & Arsy Widianto"
"Bahagia","Bahagia (Single)","GAC (Gamaliél Audrey Cantika)"
"Berlari Tanpa Kaki","Berlari Tanpa Kaki (Single)","GAC (Gamaliél Audrey Cantika)"
"Suara","Suara (Single)","GAC (Gamaliél Audrey Cantika)"
"Never Leave Ya","Never Leave Ya (Single)","GAC (Gamaliél Audrey Cantika)"
"Seberapa Pantas","07 Des","Sheila On 7"
"Dan...","Sheila On 7","Sheila On 7 (upbeat feel)"
"Pasti Ku Bisa","Pasti Ku Bisa (Single)","Sheila On 7"
"Teman Terindah","Teman Terindah (Single)","Indah Dewi Pertiwi"
"Hipnotis","Hipnotis (Single)","Indah Dewi Pertiwi"
"Sempurna","Sempurna (Single)","Gita Gutawa"
"Doo Be Doo","Doo Be Doo (Single)","Gita Gutawa"
"Kembang Perawan","Kembang Perawan","Gita Gutawa"
"Cinta Takkan Salah","Cinta Takkan Salah (Single)","Gita Gutawa & Derby Romero"
"Jatuh Cinta Lagi","Jatuh Cinta Lagi (Single)","Matta Band"
"Ketahuan","Ketahuan (Single)","Matta Band"
"Ada Yang Marah","Ada Yang Marah (Single)","Matta Band"
"Sumpah Mati","Sumpah Mati (Single)","Matta Band"
"Dunia Belum Berakhir","Dunia Belum Berakhir (Single)","Shaden"
"Pacarku","Pacarku (Single)","Shaden"
"Kau","Kau (Single)","Ten 2 Five"
"I Will Fly","I Will Fly (Single)","Ten 2 Five"
"Happy Birthday","Happy Birthday (Single)","Ten 2 Five"
"Arti Sahabat","Arti Sahabat (Single)","Nidji"
"Disco Lazy Time","Breakthru'","Nidji"
"Biarlah","Breakthru'","Nidji"
"Hapus Aku","Breakthru'","Nidji (upbeat feel)"
"Kau dan Aku","Kau dan Aku (Single)","Nidji"
"Ceria","Ceria (Single)","J-Rocks"
"Madu dan Racun","Madu dan Racun (Single)","J-Rocks"
"Juwita Hati","Topeng Sahabat","J-Rocks"
"Falling in Love","Spirit","J-Rocks"
"Meraih Mimpi","Spirit","J-Rocks"
"Dia Milikku","Bintang di Surga","Peterpan"
"Kukatakan dengan Indah","Bintang di Surga","Peterpan"
"Topeng","Taman Langit","Peterpan"
"Sahabat","Taman Langit","Peterpan"
"Jauh Mimpiku","Alexandria","Peterpan"
"Mungkin Nanti","Bintang di Surga","Peterpan (upbeat)"
"Ada Apa Denganmu","Bintang di Surga","Peterpan (upbeat)"
"Hidupmu Hidupku","Hidupmu Hidupku (Single)","Zigaz"
"Sahabat Jadi Cinta","Sahabat Jadi Cinta (Single)","Zigaz"
"Cinta Gila","Cinta Gila (Single)","Zigaz"
"Teman Atau Ratu","Teman Atau Ratu (Single)","Zigaz"
"Jalan Cinta","Jalan Cinta (Single)","Sherina Munaf"
"Gereja Tua","Gereja Tua (Single)","Panbers"
"Akhir Cinta","Akhir Cinta (Single)","Panbers"
"Hidup yang Sepi","Hidup yang Sepi (Single)","Koes Plus"
"Kolam Susu","Kolam Susu (Single)","Koes Plus"
"Bujangan","Bujangan (Single)","Koes Plus"
"Manis dan Sayang","Manis dan Sayang (Single)","Koes Plus"
"Andaikan Kau Datang","Andaikan Kau Datang (Single)","Koes Plus"
"Kisah Sedih di Hari Minggu","Kisah Sedih di Hari Minggu (Single)","Koes Plus (iconic upbeat sad song)"
"Cobalah Untuk Setia","Cobalah Untuk Setia (Single)","Krisdayanti"
"Menghitung Hari","Menghitung Hari (Single)","Krisdayanti"
"Pilihlah Aku","Pilihlah Aku (Single)","Krisdayanti"
"Mahadaya Cinta","Mahadaya Cinta (Single)","Krisdayanti"
"Tak Pernah Padam","Tak Pernah Padam (Single)","Sandhy Sondoro"
"Malam Biru","Malam Biru (Single)","Sandhy Sondoro"
"Bunga Mimpi","Bunga Mimpi (Single)","Sandhy Sondoro"
"Gejolak Cinta","Gejolak Cinta (Single)","Indah Dewi Pertiwi & Sandhy Sondoro"
"Cinta Jangan Memilih","Cinta Jangan Memilih (Single)","Seventeen"
"Selalu Mengalah","Lelaki Hebat","Seventeen"
"Jaga Selalu Hatimu","Lelaki Hebat","Seventeen"
"Untuk Mencintaimu","Lelaki Hebat","Seventeen"
"Menemukanmu","Dunia Yang Indah","Seventeen"
"Kemarin","Kemarin (Single)","Seventeen (happy memories)"
"Aku Memilih Setia","Aku Memilih Setia (Single)","Fatin Shidqia"
"Dia Dia Dia","For You","Fatin Shidqia"
"Jangan Kau Bohong","For You","Fatin Shidqia"
"Kaulah Kamuku","Kaulah Kamuku (Single)","Fatin Shidqia & The Overtunes"
"Cinta Sejati","Habibie & Ainun (Original Soundtrack)","Bunga Citra Lestari (the happy parts)"
"Sunny","The Best of BCL","Bunga Citra Lestari"
"Karena Kucinta Kau","The Best of BCL","Bunga Citra Lestari"
"Tentang Kamu","Tentang Kamu (Single)","Bunga Citra Lestari"
"Pernah Muda","The Best of BCL","Bunga Citra Lestari"
"Dance Tonight","Dance Tonight (Single)","Bunga Citra Lestari"
"Bolelebo","Bolelebo (Lagu Daerah)","-"
"Faded,Faded (Single),Alan Walker","",""
"Spectre,Spectre (Single),Alan Walker","",""
"Force,Force (Single),Alan Walker","",""
"Candyland,Candyland (Single),Tobu","",""
"Hope,Hope (Single),Tobu","",""
"Invincible,Invincible (Single),DEAF KEV","",""
"Sky High,Sky High (Single),Elektronomia","",""
"Summertime,Summertime (Single),K-391","",""
"On & On,On & On (Single),Cartoon ft. Daniel Levi","",""
"Symbolism,Symbolism (Single),Electro-Light","",""
"Shine,Shine (Single),Spektrem","",""
"Feel Good,Feel Good (Single),Syn Cole","",""
"Cloud 9,Cloud 9 (Single),Itro & Tobu","",""
"Sunburst,Sunburst (Single),Tobu & Itro","",""
"Colors,Colors (Single),Tobu","",""
"Mortals,Mortals (Single),Warriyo ft. Laura Brehm","",""
"Heroes Tonight,Heroes Tonight (Single),Janji ft. Johnning","",""
"Blank,Blank (Single),Disfigure","",""
"My Heart,My Heart (Single),Different Heaven & EH!DE","",""
"Energy,Energy (Single),Elektronomia","",""
"Firefly,Firefly (Single),Jim Yosef","",""
"Arrow,Arrow (Single),Jim Yosef","",""
"Nekozilla,Nekozilla (Single),Different Heaven","",""
"Fade,Fade (Single),Alan Walker","",""
"Alone,Alone (Single),Alan Walker","",""
"TheFatRat - Unity,Unity (Single),TheFatRat","",""
"TheFatRat - Monody,Monody (Single),TheFatRat ft. Laura Brehm","",""
"TheFatRat - Windfall,Windfall (Single),TheFatRat","",""
"Cradles,Cradles (Single),Sub Urban","",""
"Cartoon - Why We Lose,Why We Lose (Single),Cartoon ft. Coleman Trapp","",""
"Dreams,Dreams (Single),Lost Sky ft. Sara Skinner","",""
"Fearless Pt. II,Fearless Pt. II (Single),Lost Sky ft. Chris Linton","",""
"Superhero,Superhero (Single),Unknown Brain ft. Chris Linton","",""
"Matahari,Matahari (Single),Unknown Brain ft. Luke Burr","",""
"Dancing On The Moon,Dancing On The Moon (Single),Unknown Brain, Luke Burr","",""
"Lights,Lights (Single),Elektronomia","",""
"Limitless,Limitless (Single),Elektronomia","",""
"Vitality,Vitality (Single),Elektronomia","",""
"Heaven,Heaven (Single),Elektronomia & Alex Skrindo","",""
"Friendships,Friendships (Single),Pascal Letoublon","",""
"A New Beginning,A New Beginning (Single),Axero","",""
"Trip,Trip (Single),Axero","",""
"Mesmerize,Mesmerize (Single),Tobu","",""
"Infectious,Infectious (Single),Tobu","",""
"Good Times,Good Times (Single),Tobu","",""
"Cetus,Cetus (Single),Lensko","",""
"Let's Go!,Let's Go! (Single),Lensko","",""
"Circles,Circles (Single),Lensko","",""
"Heaven's Gate,Heaven's Gate (Single),Diviners ft. Contacreast","",""
"Savannah,Savannah (Single),Diviners ft. Philly K","",""
"Tropic Love,Tropic Love (Single),Diviners ft. Contacreast","",""
"All Good,All Good (Single),Dipha Barus ft. Nadin Amizah","",""
"Sweet Scar,Sweet Scar (Single),Weird Genius ft. Prince Husein","",""
"Last Summer,Last Summer (Single),Weird Genius ft. Roque","",""
"No Ordinary,No Ordinary (Single),Winky Wiryawan & VOCALOKA","",""
"Summer,Summer (Single),Calvin Harris","",""
"Feel So Close,18 Months,Calvin Harris","",""
"Levels,Levels (Single),Avicii","",""
"The Nights,Stories,Avicii","",""
"Wake Me Up,True,Avicii","",""
"Waiting For Love,Stories,Avicii","",""
"A Sky Full of Stars,Ghost Stories,Coldplay (Prod. Avicii)","",""
"Something Just Like This,Memories...Do Not Open,The Chainsmokers & Coldplay","",""
"Don't Let Me Down,Collage EP,The Chainsmokers ft. Daya","",""
"Closer,Closer (Single),The Chainsmokers ft. Halsey","",""
"Roses,Bouquet EP,The Chainsmokers ft. ROZES","",""
"High On Life,High On Life (Single),Martin Garrix ft. Bonn","",""
"Animals,Animals (Single),Martin Garrix","",""
"Scared to be Lonely,Scared to be Lonely (Single),Martin Garrix & Dua Lipa","",""
"In the Name of Love,In the Name of Love (Single),Martin Garrix & Bebe Rexha","",""
"Shelter,Shelter (Single),Porter Robinson & Madeon","",""
"Sad Machine,Worlds,Porter Robinson","",""
"Language,Language (Single),Porter Robinson","",""
"Easy,Easy (Single),Porter Robinson & Mat Zo","",""
"You & Me (Flume Remix),You & Me (Flume Remix),Disclosure","",""
"Never Be Like You,Skin,Flume ft. Kai","",""
"Innerbloom,Bloom,RÜFÜS DU SOL","",""
"A Moment Apart,A Moment Apart,ODESZA","",""
"Sun Models,In Return,ODESZA ft. Madelyn Grant","",""
"Higher Ground,Higher Ground (Single),ODESZA ft. Naomi Wild","",""
"Good Things Fall Apart,ASCEND,ILLENIUM & Jon Bellion","",""
"Feel Good,Good Will Prevail,Gryffin & ILLENIUM ft. Daya","",""
"All You Need To Know,Gravity,Gryffin & SLANDER ft. Calle Lehmann","",""
"Tie Me Down,Gravity,Gryffin & Elley Duhé","",""
"Remember,Remember (Single),Gryffin & ZOHARA","",""
"Crawl Outta Love,Awake,ILLENIUM ft. Annika Wells","",""
"Fractures,Awake,ILLENIUM ft. Nevve","",""
"Crashing,Crashing (Single),ILLENIUM ft. Bahari","",""
"First Time,First Time (Single),Seven Lions, SLANDER, & Dabin ft. Dylan Matthew","",""
"Island,The Headbangers' Ball,Seven Lions ft. Nevve","",""
"After Dark,The Headbangers' Ball,Seven Lions & Blastoyz ft. Fiora","",""
"Rush Over Me,Rush Over Me (Single),Seven Lions, Illenium & Said The Sky ft. HALIENE","",""
"Where'd U Go,Where'd U Go (Single),ILLENIUM & Said The Sky","",""
"All I Got,All I Got (Single),Said The Sky ft. Kwesi","",""
"Show & Tell,Wide-Eyed,Said The Sky ft. Claire Ridgely","",""
"Stargazing,Stargazing (Single),Kygo ft. Justin Jesso","",""
"Firestone,Cloud Nine,Kygo ft. Conrad Sewell","",""
"It Ain't Me,It Ain't Me (Single),Kygo & Selena Gomez","",""
"Higher Love,Higher Love (Single),Kygo & Whitney Houston","",""
"I'm on My Way,I'm on My Way (Single),Alan Walker, Sabrina Carpenter, Farruko","",""
"Play,Play (Single),Alan Walker, K-391, Tungevaag, Mangoo","",""
"Lily,Different World,Alan Walker, K-391, Emelie Hollow","",""
"Ignite,Ignite (Single),K-391 & Alan Walker ft. Julie Bergan","",""
"Earth,Earth (Single),K-391","",""
"Summertime,Summertime (Single),K-391","",""
"Different World,Different World,Alan Walker, K-391, CORSAK","",""
"Lost Control,Different World,Alan Walker & Sorana","",""
"Diamond Heart,Diamond Heart (Single),Alan Walker & Sophia Somajo","",""
"Darkside,Darkside (Single),Alan Walker, Au/Ra, Tomine Harket","",""
"All Falls Down,All Falls Down (Single),Alan Walker, Noah Cyrus, Digital Farm Animals","",""
"Alone, Pt. II,Alone, Pt. II (Single),Alan Walker & Ava Max","",""
"The Spectre,The Spectre (Single),Alan Walker","",""
"Sing Me to Sleep,Sing Me to Sleep (Single),Alan Walker","",""
"End of Time,End of Time (Single),K-391, Alan Walker & Ahrix","",""
"Ritual,Ritual (Single),Tiësto, Jonas Blue & Rita Ora","",""
"The Motto,The Motto (Single),Tiësto & Ava Max","",""
"Don't Be Shy,Don't Be Shy (Single),Tiësto & KAROL G","",""
"BOOM,BOOM (Single),Tiësto, Gucci Mane, Sevenn","",""
"Secrets,Secrets (Single),Tiësto & KSHMR ft. Vassy","",""
"More Than You Know,More Than You Know,Axwell /\ Ingrosso","",""
"Sun Is Shining,Sun Is Shining (Single),Axwell /\ Ingrosso","",""
"Don't You Worry Child,Until Now,Swedish House Mafia ft. John Martin","",""
"Save The World,Until Now,Swedish House Mafia","",""
"Reload,Reload (Single),Sebastian Ingrosso, Tommy Trash, John Martin","",""
"If I Lose Myself (Alesso vs OneRepublic),If I Lose Myself (Remix),Alesso & OneRepublic","",""
"Heroes (we could be),Forever,Alesso ft. Tove Lo","",""
"Under Control,Motion,Calvin Harris & Alesso ft. Hurts","",""
"I Need Your Love,18 Months,Calvin Harris ft. Ellie Goulding","",""
"Outside,Motion,Calvin Harris ft. Ellie Goulding","",""
"Blame,Motion,Calvin Harris ft. John Newman","",""
"How Deep Is Your Love,How Deep Is Your Love (Single),Calvin Harris & Disciples","",""
"This Is What You Came For,This Is What You Came For (Single),Calvin Harris ft. Rihanna","",""
"One Kiss,One Kiss (Single),Calvin Harris & Dua Lipa","",""
"Lean On,Peace Is The Mission,Major Lazer & DJ Snake ft. MØ","",""
"Light It Up,Peace Is The Mission,Major Lazer ft. Nyla & Fuse ODG","",""
"Cold Water,Cold Water (Single),Major Lazer ft. Justin Bieber & MØ","",""
"Get Low,Get Low (Single),Dillon Francis & DJ Snake","",""
"Middle,Encore,DJ Snake ft. Bipolar Sunshine","",""
"Let Me Love You,Encore,DJ Snake ft. Justin Bieber","",""
"Taki Taki,Taki Taki (Single),DJ Snake, Selena Gomez, Ozuna, Cardi B","",""
"You Know You Like It,You Know You Like It (Single),DJ Snake & AlunaGeorge","",""
"Faded,Faded (Single),ZHU","",""
"Working For It,Genesis Series,ZHU, Skrillex, THEY.","",""
"In The Yuma,In The Yuma (Single),Chris Lake & Aatig","",""
"A Drug From God,A Drug From God (Single),Chris Lake & NPC","",""
"Turn Off The Lights,Turn Off The Lights (Single),Chris Lake ft. Alexis Roberts","",""
"Losing It,Losing It (Single),FISHER","",""
"You Little Beauty,You Little Beauty (Single),FISHER","",""
"Take It,Take It (Single),Dom Dolla","",""
"San Frandisco,San Frandisco (Single),Dom Dolla","",""
"Be The One,Be The One (Single),Eli & Fur","",""
"Found in You,Found in You,Eli & Fur","",""
"Otherside,Otherside (Single),Eli & Fur","",""
"Something's About To Go Down,Something's About To Go Down (Single),Anti Up","",""
"Right Now,Right Now (Single),Anti Up","",""
"Cola,Cola (Single),CamelPhat & Elderbrook","",""
"Breathe,Breathe (Single),CamelPhat & Cristoph ft. Jem Cooke","",""
"Panic Room,Panic Room (Single),CamelPhat & Au/Ra","",""
"Do It To It,Do It To It (Single),ACRAZE ft. Cherish","",""
"Love Tonight,Love Tonight (Single),Shouse","",""
"Tell Me Why,Tell Me Why (Single),Supermode","",""
"Marea (We've Lost Dancing),Marea (Single),Fred again.. & The Blessed Madonna","",""
"Turn On The Lights again..,Turn On The Lights again.. (Single),Fred again.. & Swedish House Mafia","",""
"Delilah (pull me out of this),Actual Life 3,Fred again..","",""
"Clara (the night is dark),Actual Life 3,Fred again..","",""
"Adore U,Adore U (Single),Fred again.. & Obongjayar","",""
"Miracle,Miracle (Single),Calvin Harris & Ellie Goulding","",""
"Desire,Desire (Single),Calvin Harris & Sam Smith","",""
"By Your Side,By Your Side (Single),Jonas Blue ft. RAYE","",""
"Perfect Strangers,Blue,Jonas Blue ft. JP Cooper","",""
"Mama,Blue,Jonas Blue ft. William Singe","",""
"Rise,Rise (Single),Jonas Blue ft. Jack & Jack","",""
"Fast Car,Fast Car (Single),Jonas Blue ft. Dakota","",""
"Ocean,Ocean (Single),Martin Garrix ft. Khalid","",""
"Summer Days,Summer Days (Single),Martin Garrix ft. Macklemore & Patrick Stump","",""
"No Sleep,No Sleep (Single),Martin Garrix ft. Bonn","",""
"Drown,Drown (Single),Martin Garrix ft. Clinton Kane","",""
"Loop,Loop (Single),Martin Garrix & DallasK ft. Sasha Alex Sloan","",""
"Starlight (Keep Me Afloat),Starlight (Single),Martin Garrix & DubVision ft. Shaun Farrugia","",""
"Something,Sentio,Martin Garrix","",""
"Follow,Sentio,Martin Garrix & Zedd","",""
"The Middle,The Middle (Single),Zedd, Maren Morris, Grey","",""
"Stay,Stay (Single),Zedd & Alessia Cara","",""
"Clarity,Clarity,Zedd ft. Foxes","",""
"Spectrum,Clarity,Zedd ft. Matthew Koma","",""
"I Want You To Know,True Colors,Zedd ft. Selena Gomez","",""
"Beautiful Now,True Colors,Zedd ft. Jon Bellion","",""
"Happy Now,Happy Now (Single),Zedd & Elley Duhé","",""
"Funny,Funny (Single),Zedd & Jasmine Thompson","",""
"Inside Out,Inside Out (Single),Zedd & Griff","",""
"nevada,nevada (Single),Vicetone ft. Cozi Zuehlsdorff","",""
"Astronomia,Astronomia (Single),Vicetone & Tony Igy","",""
"Walk Thru Fire,Walk Thru Fire (Single),Vicetone ft. Meron Ryan","",""
"Something Strange,Elements,Vicetone ft. Haley Reinhart","",""
"Shape of You,÷ (Deluxe),Ed Sheeran","",""
"Perfect,÷ (Deluxe),Ed Sheeran","",""
"Galway Girl,÷ (Deluxe),Ed Sheeran","",""
"Castle on the Hill,÷ (Deluxe),Ed Sheeran","",""
"Sing,x (Deluxe Edition),Ed Sheeran","",""
"Don't,x (Deluxe Edition),Ed Sheeran","",""
"Uptown Funk (feat. Bruno Mars),Uptown Special,Mark Ronson","",""
"24K Magic,24K Magic,Bruno Mars","",""
"That's What I Like,24K Magic,Bruno Mars","",""
"Locked out of Heaven,Unorthodox Jukebox,Bruno Mars","",""
"Treasure,Unorthodox Jukebox,Bruno Mars","",""
"The Lazy Song,Doo-Wops & Hooligans,Bruno Mars","",""
"Marry You,Doo-Wops & Hooligans,Bruno Mars","",""
"Just the Way You Are,Doo-Wops & Hooligans,Bruno Mars","",""
"Happy,Despicable Me 2 (Original Motion Picture Soundtrack),Pharrell Williams","",""
"CAN'T STOP THE FEELING!,CAN'T STOP THE FEELING!,Justin Timberlake","",""
"Shake It Off,1989 (Deluxe),Taylor Swift","",""
"Blank Space,1989 (Deluxe),Taylor Swift","",""
"22,Red (Deluxe Edition),Taylor Swift","",""
"ME! (feat. Brendon Urie of Panic! At The Disco),Lover,Taylor Swift","",""
"You Belong With Me,Fearless (Taylor's Version),Taylor Swift","",""
"Love Story,Fearless (Taylor's Version),Taylor Swift","",""
"Don't Start Now,Future Nostalgia,Dua Lipa","",""
"Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa","",""
"New Rules,Dua Lipa (Deluxe),Dua Lipa","",""
"Physical,Future Nostalgia,Dua Lipa","",""
"Good As Hell,Cuz I Love You,Lizzo","",""
"Juice,Cuz I Love You,Lizzo","",""
"About Damn Time,Special,Lizzo","",""
"Watermelon Sugar,Fine Line,Harry Styles","",""
"As It Was,Harry's House,Harry Styles","",""
"Adore You,Fine Line,Harry Styles","",""
"Golden,Fine Line,Harry Styles","",""
"Music For a Sushi Restaurant,Harry's House,Harry Styles","",""
"Blinding Lights,After Hours,The Weeknd","",""
"Save Your Tears,After Hours,The Weeknd","",""
"I Feel It Coming,Starboy,The Weeknd","",""
"Roar,PRISM (Deluxe),Katy Perry","",""
"Firework,Teenage Dream,Katy Perry","",""
"California Gurls (feat. Snoop Dogg),Teenage Dream,Katy Perry","",""
"Teenage Dream,Teenage Dream,Katy Perry","",""
"Last Friday Night (T.G.I.F.),Teenage Dream,Katy Perry","",""
"Crazy Little Thing Called Love,The Game,Queen","",""
"Don't Stop Me Now,Jazz,Queen","",""
"Another One Bites the Dust,The Game,Queen","",""
"Good Old-Fashioned Lover Boy,A Day at the Races,Queen","",""
"You're My Best Friend,A Night at the Opera,Queen","",""
"I'm Yours,We Sing. We Dance. We Steal Things.,Jason Mraz","",""
"Lucky,We Sing. We Dance. We Steal Things.,Jason Mraz & Colbie Caillat","",""
"Have It All,Know.,Jason Mraz","",""
"The Remedy (I Won't Worry),Waiting for My Rocket to Come,Jason Mraz","",""
"Bubbly,Coco,Colbie Caillat","",""
"Brighter Than The Sun,All of You,Colbie Caillat","",""
"Better Together,In Between Dreams,Jack Johnson","",""
"Upside Down,Sing-A-Longs and Lullabies for the Film Curious George,Jack Johnson","",""
"Sunday Morning,Songs About Jane,Maroon 5","",""
"Moves Like Jagger,Hands All Over,Maroon 5","",""
"Sugar,V (Deluxe),Maroon 5","",""
"Girls Like You (feat. Cardi B),Red Pill Blues,Maroon 5","",""
"One More Night,Overexposed,Maroon 5","",""
"This Love,Songs About Jane,Maroon 5","",""
"Viva La Vida,Viva La Vida or Death and All His Friends,Coldplay","",""
"A Sky Full of Stars,Ghost Stories,Coldplay","",""
"Hymn for the Weekend,A Head Full of Dreams,Coldplay","",""
