"Name","Album","Artist"
"Gairah Sia-Sia","Sujud","Senyawa"
"Menuju Sirna","Menuju Sirna (Single)","Kubik"
"Generasi Gelap","1.0","Kubik"
"Tuhan Yang Kecewa","Tuhan Yang Kecewa (Single)","Morgue Vanguard"
"Testamen","Testamen (Single)","Morgue Vanguard"
"Sektor Gaza","Demi Masa","Homicide"
"Nekropolis","Illsurrekshun","Homicide"
"Rima Aborigin","Godzkilla Necronometry","Homicide"
"Matthew","Story of Peter","Sarasvati"
"Hendrick","Story of Peter","Sarasvati"
"William","Story of Peter","Sarasvati"
"Hans","Story of Peter","Sarasvati"
"Janshen","Story of Peter","Sarasvati"
"Samantha","Samantha (Single)","Sarasvati"
"Maddah","Maddah (Single)","Sarasvati"
"Wizard Girl","Ratimaya","Sarasvati"
"Gilding the Lily","Ratimaya","Sarasvati"
"Broken Song","Ratimaya","Sarasvati"
"The Dancing Prince","Ratimaya","Sarasvati"
"Tainted Memories","Ratimaya","Sarasvati"
"Rasuk","Rasuk (Single)","Rasuk"
"Mata-Mata","Mata-Mata (Single)","Rasuk"
"Dunia Menjerit","Dunia Menjerit (Single)","Rasuk"
"Kamar 33","OST. Kamar 33","Utopia"
"Antara Ada dan Tiada","Kekal","Utopia"
"Serpihan Hati","Indah","Utopia"
"Benci","Kekal","Utopia"
"Malaikat","Malaikat (Single)","Utopia"
"Lelah","Lelah (Single)","Killing Me Inside"
"The Tormented","A Fresh Start for Something New","Killing Me Inside"
"Don't Look Back","Killing Me Inside","Killing Me Inside"
"Biarlah","Killing Me Inside","Killing Me Inside"
"Fake","Fake (Single)","Killing Me Inside"
"Jerusalem","Jerusalem (Single)","The Brandals"
"Marching Menuju Maut","The Brandals","The Brandals"
"100 Km/Jam","The Brandals","The Brandals"
"Obsesi","Audio Imperial","The Brandals"
"Lingkar Labirin","DGNR","The Brandals"
"Bintang 13","Bintang 13 (Single)","Forgotten"
"Tuhan Telah Mati","Tuhan Telah Mati","Forgotten"
"Busa","Obsesi","Forgotten"
"Romantika","Romantika (Single)","The Upstairs"
"Matraman","Matraman (Single)","The Upstairs"
"Terekam (Tak Pernah Mati)","Energy","The Upstairs"
"Disko Darurat","Energy","The Upstairs"
"Antah Berantah","Antah Berantah (Single)","The Upstairs"
"Menyentuh Awan","Fallen Japanese","Sajama Cut"
"Alibi","The Osaka Journals","Sajama Cut"
"Less Afraid","The Osaka Journals","Sajama Cut"
"Terbunuh","Hobgoblin","Sajama Cut"
"Mereka Bilang","Mereka Bilang (Single)","Goodnight Electric"
"Am I Robot?","Love and Thunder","Goodnight Electric"
"Laser Gun","Love and Thunder","Goodnight Electric"
"Interval","Love and Thunder","Goodnight Electric"
"Erotika","Erotika (Single)","Goodnight Electric"
"Insomnia","Insomnia (Single)","Efek Rumah Kaca"
"Jalang","Kamar Gelap","Efek Rumah Kaca"
"Balerina","Kamar Gelap","Efek Rumah Kaca"
"Laki-Laki Pemalu","Kamar Gelap","Efek Rumah Kaca"
"Putih","Sinestesia","Efek Rumah Kaca"
"Kuning","Sinestesia","Efek Rumah Kaca"
"Jingga","Sinestesia","Efek Rumah Kaca"
"Biru","Sinestesia","Efek Rumah Kaca"
"Merah","Sinestesia","Efek Rumah Kaca"
"Karma","Sinestesia","Efek Rumah Kaca"
"Bumi dan Bulan","Bumi dan Bulan (Single)","Hindia"
"Matahari Tenggelam","Lagipula Hidup Akan Berakhir","Hindia"
"Bayangkan (Jika Kita Tidak Menyerah)","Lagipula Hidup Akan Berakhir","Hindia"
"Alexandra","Lagipula Hidup Akan Berakhir","Hindia"
"Wawancara Liar Pt. II","Lagipula Hidup Akan Berakhir","Hindia"
"Kami Belum Tentu","Membangun dan Menghancurkan",".Feast"
"Sectumsempra","Membangun dan Menghancurkan",".Feast"
"Padi Milik Rakyat","Membangun dan Menghancurkan",".Feast & Jason Ranti"
"Berita Kehilangan","Uang Muka",".Feast"
"Camkan","Uang Muka",".Feast"
"Dalam Hitungan","Uang Muka",".Feast"
"Senin Toko Tutup","Telisik","Danilla Riyadi"
"Junko Furuta","Telisik","Danilla Riyadi"
"Kalapuna","Lintasan Waktu","Danilla Riyadi"
"Ikatan Waktu Lampau","Lintasan Waktu","Danilla Riyadi"
"Merpatih","Merpatih (Single)","Danilla Riyadi"
"Rimpang","Rimpang (Single)","Efek Rumah Kaca"
"Heroin","Sinestesia","Efek Rumah Kaca"
"Rahasia","Rahasia (Single)","The Adams"
"Dunia Beracun","Dunia Beracun (Single)","The Adams"
"Timur","v2.05","The Adams"
"Hanya Kau","The Adams","The Adams"
"Sendiri","Sendiri (Single)","The Adams"
"Hanya Manusia Biasa","Hanya Manusia Biasa (Single)","The SIGIT"
"Black Amplifier","Hertz Dyslexia","The SIGIT"
"Did I Say I'm In Love With You","Visible Idea of Perfection","The SIGIT"
"Conundrum","Detourn","The SIGIT"
"Gate of 15th","Hertz Dyslexia","The SIGIT"
"Sesak","Sesak (Single)","Nadin Amizah"
"Menjadi Manusia","Menjadi Manusia (Single)","Nadin Amizah"
"Semesta","Semesta (Single)","Nadin Amizah"
"Paman Tua","Selamat Ulang Tahun","Nadin Amizah"
"Bunyi","Selamat Ulang Tahun","Nadin Amizah"
"Gerhana","Gerhana (Single)","Polka Wars"
"Setan","Setan (Single)","Polka Wars"
"Ratu","Ratu (Single)","Polka Wars"
"Moksa","Moksa (Single)","Polka Wars"
"Mapan","Mapan (Single)","Polka Wars"
"Rahim","OST. Perempuan Tanah Jahanam","The Spouse"
"Puti","OST. Ratu Ilmu Hitam","The Spouse"
"Puja","OST. Ratu Ilmu Hitam","The Spouse"
"Sepi","Sepi (Single)","Yuni Shara"
"Mengapa Tiada Maaf","Mengapa Tiada Maaf (Single)","Yuni Shara"
"Maafkan","Maafkan (Single)","Slank"
"Seperti Para Koruptor","The Big Hip","Slank"
"Poppies Lane Memory","Poppies Lane Memory (Single)","Slank"
"Lorong Hitam","Lorong Hitam (Single)","Slank"
"Anyer 10 Maret","Suit... Suit... He... He... (Gadis Sexy)","Slank"
"Jeritan","Jeritan (Single)","Iwan Fals"
"Celoteh Camar Tolol","Celoteh Camar Tolol (Single)","Iwan Fals"
"Kota","Kota (Single)","Iwan Fals"
"Ambulance Zig Zag","Ambulance Zig Zag (Single)","Iwan Fals"
"Aku Bukan Pilihan","Aku Bukan Pilihan (Single)","Iwan Fals"
"Doa","Doa (Single)","Chrisye"
"Ketika Tangan dan Kaki Berkata","Kala Cinta Menggoda","Chrisye"
"Anak Jalanan","Anak Jalanan (Single)","Chrisye"
"Lilin-Lilin Kecil","Lilin-Lilin Kecil (Single)","Chrisye"
"Selamat Jalan Kekasih","Selamat Jalan Kekasih (Single)","Chrisye"
"Badai Pasti Berlalu","Badai Pasti Berlalu","Chrisye"
"Hipokrisi","Hipokrisi (Single)","Superman Is Dead"
"Bulan dan Ksatria","Black Market Love","Superman Is Dead"
"Kita vs Mereka","Kuta Rock City","Superman Is Dead"
"Water Not War","Angels and the Outsiders","Superman Is Dead"
