"Name","Album","Artist"
"Sama Rata Sama Rasa","Sama Rata Sama Rasa (Single)","Jeruji"
"Freedom","Freedom (Single)","Jeruji"
"Hipokrisi","Hipokrisi (Single)","Superman Is Dead"
"Bad Bad Bad","Sunset di Tanah Anarki","Superman Is Dead"
"Saint of My Life","The Hangover Decade","Superman Is Dead"
"Luka Indonesia","Luka Indonesia (Single)","Marjinal"
"Marsinah","Marsinah (Single)","Marjinal"
"Cinta Pembodohan","Predator","Marjinal"
"Darurat Sipil","Darurat Sipil (Single)","Navicula"
"Mafia Hukum","Salto","Navicula"
"Aku Benci","Aku Benci (Single)","Navicula"
"Orde Sikat","Orde Sikat (Single)","The Brandals"
"Apatis","Retorika","The Brandals"
"St. Monica","The Brandals","The Brandals"
"The Tormented","A Fresh Start for Something New","Killing Me Inside"
"Biarlah","Killing Me Inside","Killing Me Inside"
"Lelah","Lelah (Single)","Killing Me Inside"
"Jangan Tegang","Jangan Tegang (Single)","The Changcuters"
"I Love You Bibeh","Mencoba Sukses","The Changcuters"
"Pria Idola Wanita","Mencoba Sukses Kembali","The Changcuters"
"Bebas","Bebas (Single)","Iwa K"
"Nombok Dong","Kramotak!","Iwa K"
"Tikus-Tikus Kantor","Tikus-Tikus Kantor (Single)","Iwan Fals"
"Generasi Frustasi","Generasi Frustasi (Single)","The Jansen"
"Selamat Ulang Tahun","Ningrat","Jamrud"
"Putri","Putri (Single)","Jamrud"
"Berakit-rakit","Sydney 090102","Jamrud"
"Asal British","Terima Kasih","Jamrud"
"Dokter Suster","Nekad","Jamrud"
"Bangsat","Nekad","Jamrud"
"Anak Jendral","Anak Jendral (Single)","Seurieus"
"Rocker Juga Manusia","Rocker Juga Manusia","Seurieus"
"BDG 19 OKT","Heart Rock","Seurieus"
"Partai Anjing","Partai Anjing (Single)","Bunga Hitam"
"Punks Dadakan","Punks Dadakan (Single)","Bunga Hitam"
"Sistem Bobrok","Sistem Bobrok (Single)","Total Tofal"
"Politikus","Politikus (Single)","Total Tofal"
"Perahu Retak","Perahu Retak","Franky Sahilatua"
"Rock Bergema","Roxx","Roxx"
"5 Cm","5 Cm (Single)","Roxx"
"Lagu Sampah","Lagu Sampah (Single)","Speaker First"
"Penipu","Muda dan Berani","Speaker First"
"Satria Bergitar","Satria Bergitar (Single)","Endank Soekamti"
"Semoga Kau di Neraka","Soekamti Day","Endank Soekamti"
"Balada Sinetron","Balada Sinetron (Single)","Endank Soekamti"
"Anjing Jalanan","Teriakan Bocah","Kelompok Penerbang Roket"
"Mati Muda","Teriakan Bocah","Kelompok Penerbang Roket"
"Target Operasi","Haa!","Kelompok Penerbang Roket"
"Besi","Haa!","Kelompok Penerbang Roket"
"God of Tuning","God of Tuning (Single)","The SIGIT"
"Black Amplifier","Hertz Dyslexia","The SIGIT"
"Did I Say I'm In Love With You","Visible Idea of Perfection","The SIGIT"
"Conundrum","Detourn","The SIGIT"
"Marah","Marah (Single)","/rif"
"Loe Toe Ye","Loe Toe Ye (Single)","/rif"
"Raja","Raja (Single)","/rif"
"Jeni","Radja","/rif"
"Dunia Milik Kita","Dunia Milik Kita (Single)","Angsa & Serigala"
"Hikayat","Hikayat (Single)","Angsa & Serigala"
"Bulan","Bulan (Single)","Angsa & Serigala"
"Preman","Preman (Single)","Ikang Fawzi"
"Catatan Si Boy","Catatan Si Boy (Single)","Ikang Fawzi"
"Hip Hop Jalanan","Hip Hop Jalanan (Single)","Black Company"
"Manusia Reptil","Manusia Reptil (Single)","Black Company"
"Rimba Kota","Rimba Kota (Single)","Sucker Head"
"Lawan","The Head Sucker","Sucker Head"
"Manic Depressive","The Head Sucker","Sucker Head"
"Amarah","Amarah (Single)","Koil"
"Tuhan Telah Mati","Tuhan Telah Mati","Forgotten"
"Busa","Obsesi","Forgotten"
"Jeritan","Jeritan (Single)","Iwan Fals"
"Ambulance Zig Zag","Ambulance Zig Zag (Single)","Iwan Fals"
"Aku Bukan Pilihan","Aku Bukan Pilihan (Single)","Iwan Fals"
"Sakit Hati","Sakit Hati (Single)","Type-X"
"Genit","Genit (Single)","Type-X"
"Indonesia Sayang","Indonesia Sayang (Single)","Shaggydog"
"Jalan-Jalan","Hot Dogz","Shaggydog"
"Anjing Kintamani","Anjing Kintamani (Single)","Shaggydog"
"Berpacu Dalam Melodi","Berpacu Dalam Melodi (Single)","Kelompok Penerbang Roket"
"Ironi","Ironi (Single)","Kelompok Penerbang Roket"
"Pengecut","Pengecut (Single)","Poison The Well"
"Nervous","Nervous (Single)","Poison The Well"
"Merdeka","Merdeka (Single)","Type-X"
"Song from the Broken World","Song from the Broken World (Single)","Type-X"
"Water Not War","Angels and the Outsiders","Superman Is Dead"
"Lelaki Pemberani","Lelaki Pemberani (Single)","Power Metal"
"Timur Tragedi","Pesta Dansa","Power Metal"
"Malapetaka","Malapetaka (Single)","Power Metal"
"Bara","Bara (Single)","Edane"
"Ikuti","The Beast","Edane"
"The Beast","The Beast","Edane"
"Gasss","Gasss (Single)","Edane"
"Jengah","Jengah (Single)","Edane"
"Garuda di Dadaku","The Story Of","Netral"
"Pertempuran Hati","Paten","Netral"
"Sorry","White Album","Netral"
"Paten","Paten","Netral"
"Super Hero","Super Hero (Single)","Netral"
"Api","Api (Single)","Netral"
"Maafkan","Maafkan (Single)","Slank"
"Poppies Lane Memory","Poppies Lane Memory (Single)","Slank"
"Lorong Hitam","Lorong Hitam (Single)","Slank"
"Tepi Campuhan","Tepi Campuhan (Single)","Slank"
"Balikin","Lagi Sedih","Slank"
"Anyer 10 Maret","Suit... Suit... He... He... (Gadis Sexy)","Slank"
"Orkes Sakit Hati","Mata Hati Telinga","Slank"
"Ku Di Negri Orang","Ku Di Negri Orang (Single)","Slank"
"Jeruji Besi","Jeruji Besi (Single)","Jamrud"
"Kabari Aku","Terima Kasih","Jamrud"
"Surti-Tejo","Nekad","Jamrud"
"Telat 3 Bulan","Terima Kasih","Jamrud"
"Naksir Abis","Ningrat","Jamrud"
"Waktuku Mandi","Ningrat","Jamrud"
"Siksaku","Siksaku (Single)","Jamrud"
"Kau dan Ibumu","Kau dan Ibumu (Single)","Jamrud"
"Ciaat","Ciaat (Single)","Jamrud"
"Juwita Malam","Juwita Malam (Single)","Slank"
"Mawar Merah","Mawar Merah (Single)","Slank"
"Terlalu Manis","Kampungan","Slank"
"Bimbim Jangan Menangis","Bimbim Jangan Menangis (Single)","Slank"
"Kupu Biru","Kupu Biru (Single)","Slank"
"Feodalisme (Warisan Kompeni)","Mata Hati Telinga","Slank"
