"Name","Album","Artist"
"Terlalu Cinta","Repackage","Rossa"
"Hati Yang Kau Sakiti","Rossa","Rossa"
"Kecewa","Cinta Pertama","Bunga Citra Lestari"
"Saat Kau Pergi","Tentang Kamu","Bunga Citra Lestari"
"Akhir Cerita Cinta","Glenn","Glenn Fredly"
"Sadis","Confession No.1","Afgan"
"Bukan Cinta Biasa","Confession No.1","Afgan"
"Pergilah Kasih","Pergilah Kasih (Single)","Chrisye"
"Kangen","Format Masa Depan","Dewa 19"
"Cukup Siti Nurbaya","Terbaik Terbaik","Dewa 19"
"Risalah Hati","Bintang Lima","Dewa 19"
"Separuh Nafas","Bintang Lima","Dewa 19"
"Roman Picisan","Bintang Lima","Dewa 19"
"Sephia","Kisah Klasik Untuk Masa Depan","Sheila On 7"
"Bila Rasaku Ini Rasamu","Kisah Klasik Untuk Masa Depan","Sheila On 7"
"Berhenti Berharap","30 Hari Mencari Cinta","Sheila On 7"
"Merindukanmu","Respect","d'Masiv"
"Jangan Pergi","Perubahan","d'Masiv"
"Sudahi Perih Ini","Perubahan","d'Masiv"
"Apa Salahku","P.U.S.P.A","ST12"
"Saat Terakhir","P.U.S.P.A","ST12"
"Cari Pacar Lagi","P.U.S.P.A","ST12"
"Ruang Rindu","507","Letto"
"Akhir Rasa Ini","Republik","Samsons"
"Bukan Diriku","Penantian Hidup","Samsons"
"Luluh","Naluri Lelaki","Samsons"
"Sepanjang Hidupku","Kerispatih and Friends","Kerispatih"
"Aku Harus Jujur","Semua Tentang Cinta","Kerispatih"
"Bila Nanti","Bila Nanti (Single)","Nabila Maharani"
"Tercipta Untukku","Melayang","Ungu"
"Andai Ku Tahu","SurgaMu","Ungu"
"Sejauh Mungkin","Untukmu Selamanya","Ungu"
"Ada Apa Denganmu","Bintang di Surga","Peterpan"
"Tak Bisakah","Ost. Alexandria","Peterpan"
"Di Belakangku","Ost. Alexandria","Peterpan"
"Separuh Aku","Seperti Seharusnya","Noah"
"Jika Engkau","Seperti Seharusnya","Noah"
"Tak Lagi Sama","Seperti Seharusnya","Noah"
"Ini Cinta","Seperti Seharusnya","Noah"
"Asal Kau Bahagia","Asal Kau Bahagia (Single)","Armada"
"Harusnya Aku","Pagi Pulang Pagi","Armada"
"Buka Hatimu","Balas Dendam","Armada"
"Pemilik Hati","Hal Terbesar","Armada"
"Mau Dibawa Kemana","Hal Terbesar","Armada"
"Tegar","Tegar","Rossa"
"Atas Nama Cinta","Yang Terpilih","Rossa"
"Aku Bukan Untukmu","Kembali","Rossa"
"Pudar","Kembali","Rossa"
"Cinta Sejati","Habibie & Ainun (Original Soundtrack)","Bunga Citra Lestari"
"Aku dan Dirimu","The Best of BCL","Bunga Citra Lestari & Ari Lasso"
"Karena Kucinta Kau","The Best of BCL","Bunga Citra Lestari"
"Cinta Pertama (Sunny)","Cinta Pertama","Bunga Citra Lestari"
"Kasih Tak Sampai","Konser Tur 2000","Padi"
"Sobat","Lain Dunia","Padi"
"Semua Tak Sama","Sesuatu Yang Tertunda","Padi"
"Rapuh","Selamat Pagi","Padi"
"Menanti Sebuah Jawaban","Padi","Padi"
"Terbakar Cemburu","The Singles","Padi"
"Tentang Seseorang","Ada Apa Dengan Cinta? (Original Soundtrack)","Melly Goeslaw"
"Salah","Intuisi","Melly Goeslaw"
"Gantung","Mind 'N Soul","Melly Goeslaw"
"Bimbang","Ada Apa Dengan Cinta? (Original Soundtrack)","Melly Goeslaw"
"Denting","Ada Apa Dengan Cinta? (Original Soundtrack)","Melly Goeslaw"
"LDR","LDR (Single)","Raisa"
"Usai Di Sini","Handmade","Raisa"
"Firasat","Handmade","Raisa"
"Mantan Terindah","Heart to Heart","Raisa"
"Serba Salah","Raisa","Raisa"
"Pamit","Monokrom","Tulus"
"Sewindu","Gajah","Tulus"
"Ruang Sendiri","Monokrom","Tulus"
"Lagu Untuk Matahari","Monokrom","Tulus"
"Closure","Flying Solo","Pamungkas"
"Deeper","Walk The Talk","Pamungkas"
"Kenangan Manis","Walk The Talk","Pamungkas"
"Apatis","Apatis (Single)","Pamungkas"
"Begin Again","Solipsism 0.2","Pamungkas"
"Beranjak Dewasa","Selamat Ulang Tahun","Nadin Amizah"
"Paman Tua","Selamat Ulang Tahun","Nadin Amizah"
"Mendarah","Selamat Ulang Tuhan","Nadin Amizah"
"Seperti Tulang","Selamat Ulang Tahun","Nadin Amizah"
"Kereta Ini Melaju Terlalu Cepat","Selamat Ulang Tahun","Nadin Amizah"
"dehidrasi (feat. Petra Sihombing)","Menari dengan Bayangan","Hindia"
"Besok Mungkin Kita Sampai","Menari dengan Bayangan","Hindia"
"Untuk Apa/Untuk Apa?","Menari dengan Bayangan","Hindia"
"Konon Katanya","Konon Katanya (Single)","Kunto Aji"
"Terlalu Lama Sendiri","Generation Y","Kunto Aji"
"Ekspektasi","Generation Y","Kunto Aji"
"Saudade","Mantra Mantra","Kunto Aji"
"Jakarta Jakarta","Mantra Mantra","Kunto Aji"
"Sulung","Mantra Mantra","Kunto Aji"
"Celengan Rindu","Konspirasi Alam Semesta","Fiersa Besari"
"Nadir","Konspirasi Alam Semesta","Fiersa Besari"
"April","Konspirasi Alam Semesta","Fiersa Besari"
"Pelukku Untuk Pelikmu","OST. Imperfect","Fiersa Besari"
"Hingga Napas Ini Habis","Konspirasi Alam Semesta","Fiersa Besari"
"Kau","Lagipula Hidup Akan Berakhir","Hindia"
"Rumah","Rubik","Dere"
"Kota","Rubik","Dere"
"Hilang","Hilang (Single)","Juicy Luicy"
"Lantas","Sentimental","Juicy Luicy"
"Tanpa Tergesa","Sentimental","Juicy Luicy"
"Tampar","Sentimental","Juicy Luicy"
"Sialan","Sialan (Single)","Juicy Luicy"
"Aku Lelakimu","Aku Lelakimu (Single)","Virzha"
"Tentang Rindu","Tentang Rindu (Single)","Virzha"
"Sirna","Sirna (Single)","Virzha"
"Resah","Resah (Single)","Payung Teduh"
"Menuju Senja","Ruang Tunggu","Payung Teduh"
"Cerita Tentang Gunung dan Laut","Ruang Tunggu","Payung Teduh"
"Kucari Kamu","Ruang Tunggu","Payung Teduh"
"Berdua Saja","Ruang Tunggu","Payung Teduh"
"Angin Pujaan Hujan","Ruang Tunggu","Payung Teduh"
"Takkan Terganti","Decode","Marcell Siahaan"
"Firasat","Marcell","Marcell Siahaan"
"Semusim","Marcell","Marcell Siahaan"
"Perih","And The Story Goes","Marcell Siahaan"
"Hanya Memuji","Hanya Memuji (Single)","Marcell Siahaan & Shanty"
"Arti Cinta","Arti Cinta (Single)","Ari Lasso"
"Hampa","Keseimbangan","Ari Lasso"
"Penjaga Hati","Sendiri Dulu","Ari Lasso"
"Misteri Ilahi","Keseimbangan","Ari Lasso"
"Perbedaan","Sendiri Dulu","Ari Lasso"
"Cinta Terakhir","Yang Terbaik","Ari Lasso"
"Aku dan Dirimu","The Best of BCL","Bunga Citra Lestari & Ari Lasso"
"Kisah Cintaku","Sesuatu Yang Tertunda","Peterpan"
"Jauh Mimpiku","Ost. Alexandria","Peterpan"
"Mimpi yang Sempurna","Taman Langit","Peterpan"
"Topeng","Taman Langit","Peterpan"
"Sajadah Panjang","SurgaMu","Ungu"
"Saat Indah Bersamamu","Untukmu Selamanya","Ungu"
"Laguku","Laguku","Ungu"
"Bayang Semu","Laguku","Ungu"
"Ijinkan Aku","Melayang","Ungu"
"Manusia Bodoh","Repackage","Ada Band"
"Karena Wanita (Ingin Dimengerti)","Romantic Rhapsody","Ada Band"
"Haruskah Ku Mati","Heaven of Love","Ada Band"
"Setengah Hati","Metamorphosis","Ada Band"
"Jadikan Aku yang Kedua","Republik Cinta","Dewa 19"
"Satu","Satu (Single)","Dewa 19"
"Dua Sejoli","Bintang Lima","Dewa 19"
"Cinta Gila","Republik Cinta","Dewa 19"
"Larut","Kerajaan Cinta","Dewa 19"
